user_id,full_name,age,dob,gender,mobile,address_city,aadhaar_no,pan_no,voter_id,driving_license,ration_card,birth_cert,caste_cert,community_cert,marksheet_10,marksheet_12,tc_doc,competitive_exam,employment_card,esic_card,epf_uan,mgnrega_card,e_shram,lwb_id,pm_kisan,patta_land,itr_filing,vehicle_rc,puc_cert,fastag,bus_pass,passport,visa,vaccine_cert,ayushman_bharat,medical_insurance,disability_cert,marriage_cert,divorce_cert,will_doc,police_verification,service_conn_eb,gas_connection,old_age_pension
1,Ramesh Gupta,45,1980-05-15,M,9876543210,Delhi,998877665544,ABCDE1234F,DL/01/001/123456,DL-04-2010-001,RC-DL-1001,BC-1980-001,CST-GEN-001,N/A,CBSE-10-1995,CBSE-12-1997,TC-1997-001,N/A,EMP-DL-2000,N/A,100100100100,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK1,DL10CA1234,PUC-2024-001,FT-1001,N/A,Z1234567,N/A,VAC-COV-1001,AB-PMJAY-1001,MED-HDFC-1001,N/A,MAR-2005-001,N/A,N/A,PCC-2023-001,EB-DL-1122,IGL-2233,N/A
2,Sita Verma,16,2009-02-20,F,N/A,Mumbai,112233445566,N/A,N/A,N/A,N/A,BC-2009-002,N/A,N/A,CBSE-10-2024,N/A,TC-2024-002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CHN-ONE-2024,N/A,N/A,VAC-COV-1002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,Vikram Singh,32,1993-08-10,M,9123456789,Bangalore,223344556677,VWXYZ9876M,KA/01/002/987654,DL-14-2015-003,RC-KA-1003,BC-1993-003,CST-OBC-003,COM-BC-003,ICSE-10-2008,ICSE-12-2010,TC-2010-003,UPSC-2023-PRE,EMP-KA-2015,1012345678,100200200200,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK3,KA01AB5555,PUC-2024-003,FT-1003,N/A,P3344556,V-US-B1,VAC-COV-1003,N/A,MED-ICICI-1003,N/A,MAR-2018-003,N/A,N/A,PCC-2022-003,BESCOM-9988,INDANE-7766,N/A
4,Rahul Nair,17,2008-01-15,M,9988001122,Trivandrum,334455667788,N/A,N/A,N/A,N/A,BC-2008-004,CST-SC-004,COM-SC-004,KER-10-2023,N/A,TC-2023-004,JEE-2024-ADM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,KSRTC-PASS-04,N/A,N/A,VAC-COV-1004,AB-PMJAY-1004,N/A,DIS-40-LOCO,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,Anjali Rao,65,1960-11-05,F,9000011111,Kolkata,445566778899,PQRST1234K,WB/02/003/112233,N/A,RC-WB-1005,BC-1960-005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1005,AB-PMJAY-1005,N/A,N/A,MAR-1980-005,N/A,WILL-REG-2020,N/A,CESC-1122,HP-4455,PPO-WB-2020
6,Kisan Bhau,50,1975-03-12,M,8888899999,Solapur,556677889900,LMNOP5678J,MH/04/005/554433,DL-MH-2000-006,RC-MH-AAY,BC-1975-006,CST-ST-006,COM-ST-006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MGNREGA-MH-06,ESHRAM-1006,N/A,PMK-123456,PATTA-173/1,N/A,MH14XY9876,PUC-2024-006,N/A,N/A,N/A,N/A,VAC-COV-1006,AB-PMJAY-1006,N/A,N/A,MAR-1995-006,N/A,N/A,N/A,MSEDCL-7788,N/A,N/A
7,Priya Sharma,28,1997-07-22,F,7776665554,Delhi,667788990011,ABCDE5678G,DL/05/006/998877,DL-DL-2018-007,RC-DL-1007,BC-1997-007,N/A,N/A,CBSE-10-2012,CBSE-12-2014,TC-2014-007,CAT-2020-007,N/A,1023456789,100300300300,N/A,N/A,N/A,N/A,N/A,ITR-2024-ACK7,DL3C4567,PUC-2024-007,FT-1007,N/A,K8877665,V-UK-T1,VAC-COV-1007,N/A,MED-STAR-1007,N/A,MAR-2020-007,N/A,N/A,N/A,EB-DL-3344,IGL-5566,N/A
8,Amit Yadav,15,2010-06-01,M,N/A,Lucknow,778899001122,N/A,N/A,N/A,N/A,BC-2010-008,CST-OBC-008,COM-BC-008,UP-10-2025,N/A,TC-2025-008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,Sunita Devi,70,1955-09-09,F,9811122233,Noida,889900112233,ZXCVB1234L,UP/06/007/665544,N/A,RC-UP-1009,BC-1955-009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VAC-COV-1009,AB-PMJAY-1009,N/A,N/A,MAR-1970-009,DIV-2000-009,WILL-REG-2022,N/A,UPPCL-5566,N/A,OAP-UP-2020
10,Karthik Raja,22,2003-04-04,M,8989898989,Chennai,990011223344,QWERTY5678,TN/07/008/112299,DL-TN-2022-010,RC-TN-1010,BC-2003-010,CST-BC-010,COM-BC-010,TN-10-2018,TN-12-2020,TC-2020-010,TNPSC-2024,EMP-TN-2021,N/A,N/A,N/A,N/A,N/A,N/A,PATTA-220/4,N/A,TN07AS1234,PUC-2024-010,FT-1010,CHN-ONE-2024,N/A,N/A,VAC-COV-1010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TNEB-1122,N/A,N/A
